,index_No,PB,PlayerId,Level,PlayerTeam,LR,pos1,pos2,#,Name,Player,pt_No,pt,num_pt,pt_rate,spdP,SpinRate,pitY,pitX,AtBox,AVE,SLG,spdB_ave,spdB_max,brzY_ave,num_pt(Z-in),SWG(Z-in),MISS(Z-in),num_pt(Z-out),SWG(Z-out),MISS(Z-out)
0,0.0,Pitcher,81285139,NPB,TOH_GOL,Left,投手,抑え,#1,松井　裕樹,"Matsui, Yuki",0,Fastball,58,0.5858585858585859,148.96978797931035,2516.994947862069,61.89117888965517,-17.444231268965517,8,0.25,0.25,137.3548638,145.1615123,39.498764,30,0.8666666666666667,0.15384615384615385,28,0.25,0.2857142857142857
1,0.0,Pitcher,81285139,NPB,TOH_GOL,Left,投手,抑え,#1,松井　裕樹,"Matsui, Yuki",3,Slider,26,0.26262626262626265,136.28286325769233,2793.3274647307694,-2.058599661538462,12.805081753846155,7,0.14285714285714285,0.14285714285714285,123.14921395000002,147.9143225,66.256203,8,0.375,0.0,18,0.3888888888888889,0.7142857142857143
2,0.0,Pitcher,81285139,NPB,TOH_GOL,Left,投手,抑え,#1,松井　裕樹,"Matsui, Yuki",4,Curveball,4,0.04040404040404041,123.75918659999999,2602.01829425,-52.02767725,18.973838100000002,3,0.3333333333333333,0.6666666666666666,162.52045985,173.5887671,26.688015,4,0.75,0.3333333333333333,0,,
3,0.0,Pitcher,81285139,NPB,TOH_GOL,Left,投手,抑え,#1,松井　裕樹,"Matsui, Yuki",5,Splitter,11,0.1111111111111111,141.64830934545455,1483.7833088181817,10.272704418181819,-29.330172018181823,2,0.5,0.5,145.1627198,145.1627198,14.230761,3,0.3333333333333333,1.0,8,0.25,0.5
4,0.0,Pitcher,81285139,NPB,TOH_GOL,Left,投手,抑え,#1,松井　裕樹,"Matsui, Yuki",9,all,99,1.0,143.80576057272728,2478.20111750505,34.758119434343435,-9.34919017979798,20,0.25,0.3,137.47454095454546,173.5887671,66.256203,45,0.7333333333333333,0.18181818181818182,54,0.2962962962962963,0.5
5,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",0,Fastball,127,0.5746606334841629,139.89733954330708,2093.70651772441,48.2532026,-29.507671,32,0.21875,0.46875,138.29014327500002,174.5645398,81.021158,67,0.8208955223880597,0.07272727272727272,60,0.16666666666666666,0.1
6,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",1,Sinker,13,0.058823529411764705,134.14511330769233,1696.3190074615381,30.969086769230778,-33.55140316923077,3,0.0,0.0,131.7824820666667,147.6124475,15.678037,8,0.75,0.0,5,0.6,0.0
7,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",2,Cutter,18,0.08144796380090498,130.68391824444447,2365.2005606666667,16.90668026666667,2.552690122222222,6,0.3333333333333333,0.5,134.98130198,167.5768983,57.323586,9,0.8888888888888888,0.125,9,0.2222222222222222,0.5
8,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",3,Slider,20,0.09049773755656108,121.26065738500002,2524.9243895500003,-15.610691410000001,10.32571976,3,0.0,0.0,117.9184500666667,149.18718850000002,37.611584,9,0.2222222222222222,0.5,11,0.45454545454545453,0.2
9,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",4,Curveball,11,0.049773755656108594,113.26294674545456,2530.7959194545456,-30.014113199999997,17.229334927272728,1,1.0,2.0,160.23874370000001,160.23874370000001,20.100402,4,0.0,,7,0.14285714285714285,0.0
10,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",6,ChangeUp,32,0.14479638009049775,123.86363283437501,1645.8817769375,34.0087315125,-32.59434362500001,8,0.25,0.25,117.275785025,161.0875679,31.794754,11,0.7272727272727273,0.0,21,0.42857142857142855,0.3333333333333333
11,3.0,Pitcher,41345136,NPM,MIN_HAW,Left,投手,先発,#10,大竹　耕太郎,"Ohtake, Koutaro",9,all,221,1.0,133.47466486877832,2088.379840303168,32.94563546606336,-21.650117432579183,53,0.22641509433962265,0.41509433962264153,134.66989095,174.5645398,81.021158,108,0.7314814814814815,0.0759493670886076,113,0.26548672566371684,0.2
12,4.0,Pitcher,91795114,NPB,TOH_GOL,Right,投手,先発,#11,岸　孝之,"Kishi, Takayuki",0,Fastball,112,0.5308056872037915,142.42385205625,2213.1605544196427,51.058089626785716,21.776165217857145,26,0.11538461538461539,0.2692307692307692,133.0016632875,170.4377234,73.465376,55,0.7272727272727273,0.225,57,0.21052631578947367,0.16666666666666666
13,4.0,Pitcher,91795114,NPB,TOH_GOL,Right,投手,先発,#11,岸　孝之,"Kishi, Takayuki",3,Slider,28,0.13270142180094788,129.121768275,2160.2238231785714,23.481196914285714,-17.284768942857145,4,0.0,0.0,144.657159675,160.2410299,53.745398,9,0.6666666666666666,0.0,19,0.21052631578947367,0.25
14,4.0,Pitcher,91795114,NPB,TOH_GOL,Right,投手,先発,#11,岸　孝之,"Kishi, Takayuki",4,Curveball,26,0.12322274881516587,110.4942133076923,1944.8204091923076,-41.98208617692308,-28.456214946153846,6,0.5,0.5,130.132758,153.1034491,44.697556,14,0.2857142857142857,0.0,12,0.25,0.3333333333333333
15,4.0,Pitcher,91795114,NPB,TOH_GOL,Right,投手,先発,#11,岸　孝之,"Kishi, Takayuki",6,ChangeUp,45,0.2132701421800948,126.18563441555555,1572.5625556666669,21.65713389333333,39.325926484444444,9,0.2222222222222222,0.6666666666666666,139.6468940125,166.8060303,60.724565,19,0.6842105263157895,0.15384615384615385,26,0.38461538461538464,0.3
16,4.0,Pitcher,91795114,NPB,TOH_GOL,Right,投手,先発,#11,岸　孝之,"Kishi, Takayuki",9,all,211,1.0,133.26106178530804,2036.4497383317535,29.66358453270142,14.14579183507109,45,0.17777777777777778,0.35555555555555557,135.76129485625,170.4377234,73.465376,97,0.6494845360824743,0.1746031746031746,114,0.2543859649122807,0.2413793103448276
