NPB選手ID,id,選手,名前(フリガナ),ロングリスト,所属部門,team_id,team,pos1,pos2,pos3,投,打,身長,体重,年齢,生年月日,編成,選手登録状態,英語表示名,real_name_in_english,NPB選手ID,背番号,背番号#,teamEN,nameTM
71375112,1073217715,銀次,ギンジ,プロ(楽天),楽天,210606393,楽天,内野手,一塁手,二塁手,右,左,174,78,34,1988/02/24,支配下,2軍,Ginji,Ginji Akaminai,71375112,33,#33,TOH_GOL,71375112
21325135,1073217709,岡島　豪郎,オカジマ　タケロウ,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,左翼手,右,左,176,82,32,1989/09/07,支配下,2軍,Takero Okajima,Takero Okajima,21325135,27,#27,TOH_GOL,21325135
51055137,295781541,則本　昂大,ノリモト　タカヒロ,プロ(楽天),楽天,210606393,楽天,投手,先発,中継ぎ,右,左,178,82,31,1990/12/17,支配下,2軍,Takahiro Norimoto,Takahiro Norimoto,51055137,14,#14,TOH_GOL,51055137
71475133,1073216969,福山　博之,フクヤマ　ヒロユキ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,172,70,32,1989/03/27,支配下,2軍,Hiroyuki Fukuyama,Hiroyuki Fukuyama,71475133,64,#64,TOH_GOL,71475133
91995112,1073217188,炭谷　銀仁朗,スミタニ　ギンジロウ,プロ(楽天),楽天,210606393,楽天,捕手,捕手,なし,右,右,181,98,34,1987/07/19,支配下,2軍,Ginjiro Sumitani,Ginjiro Sumitani,91995112,26,#26,TOH_GOL,91995112
71975135,1073217717,島内　宏明,シマウチ　ヒロアキ,プロ(楽天),楽天,210606393,楽天,外野手,左翼手,中堅手,左,左,180,75,32,1990/02/02,支配下,2軍,Hiroaki Shimauchi,Hiroaki Shimauchi,71975135,35,#35,TOH_GOL,71975135
1505118,1073217739,辛島　航,カラシマ　ワタル,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,先発,左,左,173,72,31,1990/10/18,支配下,2軍,Wataru Karashima,Wataru Karashima,1505118,58,#58,TOH_GOL,1505118
81285139,1073221681,松井　裕樹,マツイ　ユウキ,プロ(楽天),楽天,210606393,楽天,投手,抑え,先発,左,左,174,74,26,1995/10/30,支配下,2軍,Yuki Matsui,Yuki Matsui,81285139,1,#1,TOH_GOL,81285139
71175130,1073221672,安樂　智大,アンラク　トモヒロ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,先発,右,左,186,87,25,1996/11/04,支配下,2軍,Tomohiro Anraku,Tomohiro Anraku,71175130,20,#20,TOH_GOL,71175130
91495137,727031073,森　雄大,モリ　ユウダイ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,左,左,184,74,27,1994/08/19,育成,2軍,Yudai Mori,Yudai Mori,91495137,16,#016,TOH_GOL,91495137
1305139,1073221790,内田　靖人,ウチダ　ヤスヒト,プロ(楽天),楽天,210606393,楽天,内野手,一塁手,左翼手,右,右,185,86,26,1995/05/30,支配下,2軍,Yasuhito Uchida,Yasuhito Uchida,1305139,67,#67,TOH_GOL,1305139
81385138,1073224048,小郷　裕哉,オゴウ　ユウヤ,プロ(楽天),楽天,210606393,楽天,外野手,右翼手,左翼手,右,左,178,85,25,1996/08/03,支配下,2軍,Yuya Ogo,Yuya Ogo,81385138,51,#51,TOH_GOL,81385138
31535135,1073217703,釜田　佳直,カマタ　ヨシナオ,プロ(楽天),楽天,210606393,楽天,投手,中継ぎ,抑え,右,右,177,77,28,1993/10/26,支配下,2軍,Yoshinao Kamata,Yoshinao Kamata,31535135,41,#41,TOH_GOL,31535135
3105132,400556882,横尾　俊建,ヨコオ　トシタケ,プロ(楽天),楽天,210606393,楽天,内野手,三塁手,一塁手,右,右,177,95,28,1993/05/27,支配下,2軍,Toshitake Yokoo,Toshitake Yokoo,3105132,61,#61,TOH_GOL,3105132
31235151,752810065,瀧中　瞭太,タキナカ　リョウタ,プロ(楽天),楽天,210606393,楽天,投手,先発,なし,右,右,180,93,27,1994/12/20,支配下,2軍,Ryota Takinaka,Ryota Takinaka,31235151,57,#57,TOH_GOL,31235151
